epoch,train_loss,eval_loss,eval_top1,eval_top5
0,5.004979769388835,1.86410625,100.0,100.0
1,1.5371009906133015,0.10376123046875,100.0,100.0
2,1.0149043798446655,0.103672265625,100.0,100.0
3,1.014865239461263,0.10296630859375,100.0,100.0
4,1.0148543516794841,0.103521875,100.0,100.0
5,1.0148638089497883,0.105669140625,100.0,100.0
6,1.0148871739705403,0.10638427734375,100.0,100.0
7,1.0149338642756145,0.10783037109375,100.0,100.0
8,1.0149707794189453,0.10980224609375,100.0,100.0
9,1.014968991279602,0.099659375,100.0,100.0
10,1.0148848692576091,0.09869384765625,100.0,100.0
11,1.0148954788843791,0.10400390625,100.0,100.0
12,1.0148553848266602,0.10107421875,100.0,100.0
13,1.0148603518803914,0.1019287109375,100.0,100.0
14,1.0149130423863728,0.10162353515625,100.0,100.0
15,1.0148909091949463,0.10198974609375,100.0,100.0
16,1.0148548285166423,0.10260009765625,100.0,100.0
17,1.014862100283305,0.10302734375,100.0,100.0
18,1.0148773988087971,0.10148896484375,100.0,100.0
19,1.014904260635376,0.0996814453125,100.0,100.0
20,1.014900803565979,0.1064453125,100.0,100.0
21,1.0148863395055134,0.09954833984375,100.0,100.0
22,1.014880379041036,0.10736083984375,100.0,100.0
23,1.0148860613505046,0.10394287109375,100.0,100.0
24,1.0148961544036865,0.10849072265625,100.0,100.0
25,1.0149356524149578,0.10882568359375,100.0,100.0
26,1.014905055363973,0.10005537109375,100.0,100.0
27,1.0148732264836628,0.10406494140625,100.0,100.0
28,1.014853596687317,0.103528125,100.0,100.0
29,1.0148779948552449,0.10791015625,100.0,100.0
30,1.0148736635843914,0.103283984375,100.0,100.0
31,1.0148633321126301,0.10455322265625,100.0,100.0
32,1.014864722887675,0.10015869140625,100.0,100.0
33,1.0148711999257405,0.10546875,100.0,100.0
34,1.0148719549179077,0.10162353515625,100.0,100.0
35,1.0148672660191853,0.10638427734375,100.0,100.0
36,1.0148686567942302,0.103515625,100.0,100.0
